area, bbox_area, convex_area, eccentricity, equivalent_diameter, euler_number, extent, filled_area, label, major_axis_length, minor_axis_length, orientation, perimeter, solidity, bbox0, bbox1, bbox2, bbox3, centroid0, centroid1, moments_hu0, moments_hu1, moments_hu2, moments_hu3, moments_hu4, moments_hu5, moments_hu6
2, 1447680, 2, 1.0, 1.5957691216057308, 1, 1.0, 2, 1, 2.0, 0.0, -0.0, 0.0, 1.0, 22, 983, 23, 985, 22.0, 983.5, 0.125, 0.015625, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1447680, 1, 0, 1.1283791670955126, 1, 1.0, 1, 2, 0.0, 0.0, 0.7853981633974483, 0.0, 1.0, 24, 982, 25, 983, 24.0, 982.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
395, 1447680, 516, 0.8616728642576501, 22.42609239636699, 1, 0.562678062678, 395, 3, 33.715322652760236, 17.10931793287891, 0.672381070344953, 98.5624458405, 0.765503875969, 34, 970, 60, 997, 45.6101265823, 983.162025316, 0.226179073055, 0.0178338368712, 9.79841374516e-05, 4.46837130848e-05, 6.99351324906e-10, 1.82553697805e-06, 2.87276199747e-09
1, 1447680, 1, 0, 1.1283791670955126, 1, 1.0, 1, 4, 0.0, 0.0, 0.7853981633974483, 0.0, 1.0, 38, 976, 39, 977, 38.0, 976.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
364, 1447680, 437, 0.741361568896758, 21.528102431092233, 1, 0.661818181818, 364, 5, 28.32549610195777, 19.00940534169914, 1.1451720140416783, 88.2842712475, 0.83295194508, 278, 154, 303, 176, 289.521978022, 164.766483516, 0.199809618968, 0.00573307526915, 0.000932413836786, 0.000145585372212, -6.36986373928e-09, 2.8985460678e-06, -5.32594691249e-08
121, 1447680, 159, 0.8999947048290938, 12.412170838050638, 1, 0.474509803922, 121, 6, 20.098632500520427, 8.761010535469282, 1.034181230773504, 53.4203102168, 0.761006289308, 286, 608, 303, 623, 294.479338843, 615.917355372, 0.248300792352, 0.0285637450569, 0.00196449396348, 0.000361336525362, 1.35689866219e-07, 1.35910410981e-05, -2.72522140187e-07
1, 1447680, 1, 0, 1.1283791670955126, 1, 1.0, 1, 7, 0.0, 0.0, 0.7853981633974483, 0.0, 1.0, 288, 608, 289, 609, 288.0, 608.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
210, 1447680, 255, 0.9360006715300592, 16.351767622932517, 1, 0.494117647059, 210, 8, 29.361724979438204, 10.335274762568025, 0.9934654132240183, 71.0416305603, 0.823529411765, 292, 616, 317, 633, 305.604761905, 625.004761905, 0.288371666127, 0.0505303553502, 0.00207427836137, 0.000474111441815, 3.05365580339e-07, 2.12329133917e-05, 3.57506553877e-07
1, 1447680, 1, 0, 1.1283791670955126, 1, 1.0, 1, 9, 0.0, 0.0, 0.7853981633974483, 0.0, 1.0, 294, 382, 295, 383, 294.0, 382.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1447680, 1, 0, 1.1283791670955126, 1, 1.0, 1, 10, 0.0, 0.0, 0.7853981633974483, 0.0, 1.0, 296, 384, 297, 385, 296.0, 384.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
